2018/11/2,17:0:20
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
107739,220,846,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,67,17370,4,4,0,2
108280,219,844,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,67,17368,3,3,0,1
108821,220,844,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,67,17369,5,5,0,2
109363,220,797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,67,17369,1,1,0,5
109908,219,846,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,68,17533,2,2,0,1
110450,219,849,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,67,17370,7,7,0,4
110991,221,844,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,67,17369,2,2,0,1
111533,219,845,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,67,17368,2,2,0,6
112073,219,843,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,67,17370,2,2,0,3
112615,219,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,67,17372,0,0,0,0
113156,219,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,67,17372,0,0,0,0
113712,219,848,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,69,17858,4,4,0,6
114253,221,847,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,67,17364,5,5,0,4
114794,221,848,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,67,17370,3,3,0,6
115336,222,846,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,67,17369,10,10,0,9
115914,221,843,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,72,18611,7,7,0,3
116456,221,839,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,67,17362,5,5,0,4
116997,223,845,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,67,17363,5,5,0,11
