24/10/2018,15:14:32,,,,,,,,,,,,,,,,,,,,,,,,,
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID,,,,,,,,,,
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1,1,,,,,,,,,,
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
79661,310,823,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17264,5,112,67,1
80198,309,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
80737,309,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,1
81274,310,883,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,17261,2,109,67,0
81818,310,879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,17460,1,52,68,1
82357,310,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17263,0,111,67,1
82894,312,876,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,17264,4,112,67,0
83434,314,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17335,0,183,67,0
83973,312,877,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,17264,2,112,67,2
84512,314,878,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,17333,3,181,67,1
85053,312,881,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,17335,3,183,67,1
85607,305,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818,0,154,69,3
86146,306,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17257,0,105,67,2
86683,304,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17259,0,107,67,0
87221,301,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
87759,305,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17265,0,113,67,3
88297,302,878,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,17268,4,116,67,0
88837,303,879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,17336,1,184,67,0
89382,301,881,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,17501,2,93,68,0
89921,302,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17299,0,147,67,0
90460,302,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
90997,302,902,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,17263,2,111,67,3
91538,300,888,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,17337,2,185,67,5
92078,297,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17333,0,181,67,0
92615,298,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17263,0,111,67,1
93168,301,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17748,0,84,69,1
93705,300,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17221,0,69,67,0
94241,302,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17222,0,70,67,2
94779,300,882,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,17228,2,76,67,1
95318,303,881,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17298,1,146,67,0
95855,305,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17263,0,111,67,0
96394,305,884,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,17262,5,110,67,2
96933,305,888,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,17338,7,186,67,2
97478,305,889,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,17498,2,90,68,2
98018,307,888,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17296,2,144,67,1
98556,306,892,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,17297,6,145,67,3
99097,308,893,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,17337,1,185,67,1
99637,308,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17335,0,183,67,1
100174,308,897,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,17265,2,113,67,3
100716,309,896,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,17370,5,218,67,2
101271,308,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17820,0,156,69,0
101810,308,901,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,17293,4,141,67,4
102350,310,902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,17365,1,213,67,1
102891,311,902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,17336,1,184,67,0
103432,311,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17371,0,219,67,2
103971,312,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17300,0,148,67,0
104510,314,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17301,0,149,67,1
105055,313,907,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17462,1,54,68,0
105592,316,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17265,0,113,67,0
106131,320,906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,17297,1,145,67,0
106673,322,901,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,17370,1,218,67,1
107212,321,898,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,62,78,0,0,17336,2,184,67,0
107754,321,903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,17370,1,218,67,0
108294,322,895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,17336,1,184,67,2
108850,323,894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,17856,1,192,69,0
